industry,ticker_a,ticker_b,cointegration_p,adf_p,beta,kappa,mu,sigma,half_life
"Hotels, Resorts & Cruise Lines",NCLH,RCL,0.02530478946923343,0.006005976363771643,0.1927287219540798,0.23909352632027664,2.0202759493258866,0.03318493500511592,2.899062936699688
Interactive Media & Services,GOOGL,GOOG,7.906516639587908e-05,7.311018054301225e-06,1.0065383891375868,0.0455274815149823,-0.03894926250303081,0.0018684877562318218,15.22480834640156
Multi-Utilities,CMS,DTE,0.0031185387776887087,0.0005580945621110387,0.929460600238605,0.032088105571084144,-0.29210058999295935,0.006069742546309773,21.601374348025317
Asset Management & Custody Banks,AMP,APO,0.0028143198411480046,0.0004967773405946516,0.6784632718087337,0.029062437459833137,2.851334418094633,0.013593443445652111,23.850276891535202
Telecom Tower REITs,CCI,SBAC,0.0012270834386135592,0.00019702433188907977,1.0677226918002938,0.02816017448512589,-1.1634074758710744,0.012013508395907221,24.614449066218082
Life Sciences Tools & Services,DHR,IQV,0.0031705134751940775,0.0005660678579792311,0.6728499414786908,0.025150132538973375,1.8231478693598673,0.013698723577809895,27.5603788364067
Electric Utilities,DUK,PPL,0.01551045872358531,0.0034124707789324094,0.8754808546449342,0.025036911991636688,1.6578664603073292,0.007642996948659458,27.68501086681471
Construction Materials,CRH,VMC,0.0005958269709519017,8.831776232980401e-05,1.8896137846856673,0.024673411042978082,-6.016396377579667,0.02302413130540529,28.092880200170427
Multi-Utilities,CMS,NI,0.0332608105124025,0.00828898350760202,0.48573204450317853,0.024658790056610768,2.4531037145791847,0.008270797352020727,28.10953736856686
Electric Utilities,LNT,EVRG,0.020257967542576364,0.004641921018433376,0.8303462642880316,0.024606231659818886,0.617464863655911,0.007107900395320511,28.169578753167244
Life Sciences Tools & Services,IQV,TMO,0.0028495117952210924,0.0004916638903970092,1.1195544946465115,0.022754707612014393,-1.6879068573968887,0.015491476624671551,30.46170455708103
Transaction & Payment Processing Services,MA,V,0.038017860456462584,0.009739337087204153,0.9884849026661597,0.022106864801668652,0.5607208131253865,0.007278165716685734,31.35438637629094
Retail REITs,REG,SPG,0.0497655971422857,0.013332889609221722,0.43345765376398643,0.022072506089882517,2.013278678673481,0.009995867943011879,31.403193535765592
Industrial Machinery & Supplies & Components,ITW,PH,0.021677892448450174,0.0050227133539174,0.25109902357029584,0.021448388252222565,3.8820245586557456,0.010676526571093338,32.31698216242979
Industrial Machinery & Supplies & Components,PH,SNA,0.045692977161908455,0.012028597374137636,1.852785230824149,0.021396080956344588,-4.158803063261865,0.022450773878659867,32.395987936959365
Electric Utilities,ETR,PPL,0.045544765274656784,0.012027142580709627,1.7759958370606148,0.021283113214441807,-1.8351463366360996,0.015266418993304196,32.56794123942382
Asset Management & Custody Banks,AMP,ARES,0.01678682501172357,0.0037349855650335847,0.6779095729380267,0.021206602855181212,2.758276165341613,0.014100336054813738,32.68544166613631
Oil & Gas Exploration & Production,EQT,EXE,0.022302288812292407,0.0051894538839705245,1.3076985783283055,0.021177233271683398,-2.0902680644626597,0.01915074327453837,32.73077137450101
Multi-Utilities,AEE,XEL,0.011546326960216497,0.0024313282769673566,1.0630875672155942,0.02109607356311691,0.02283005223548161,0.0088181943498577,32.85669148271276
Building Products,CARR,LII,0.0218440947258388,0.005068191126252557,0.5620537979624785,0.02079102515065829,0.6293892260245576,0.014282745032017572,33.338768797458684
Packaged Foods & Meats,CPB,GIS,0.010411973384073892,0.002153058927482636,1.0490629085778118,0.020609314441945425,-0.6333147214731203,0.010783055938250258,33.63271410664718
Electric Utilities,LNT,ETR,0.024365112725959075,0.005750861661091703,0.42933448650772915,0.020606311487686848,2.2315004640354994,0.008967619590195281,33.63761539633769
Asset Management & Custody Banks,BX,KKR,0.011211118012235637,0.0023512437794754723,0.5996825725494277,0.020511279313139445,2.085313334481268,0.015426130152459241,33.79346407300484
Construction & Engineering,FIX,PWR,0.024768628702366388,0.005850919925148252,1.6906299296527239,0.020375813652008242,-3.6109980076901387,0.02755508982385142,34.01813504962187
Environmental & Facilities Services,RSG,WM,0.0292231702453844,0.007111325596847559,1.379224167897677,0.020259742565087564,-2.0543122247525134,0.008987607756996592,34.21303001916745
Semiconductors,ADI,MPWR,0.017579051745362798,0.003941911928105214,0.6334833896201122,0.019726689569980693,1.216730521444875,0.015863516098672717,35.137531723252216
Asset Management & Custody Banks,APO,ARES,0.021904166412162106,0.005078264009453039,0.9886648147746081,0.01942550323798632,-0.08857583989965394,0.01574285500833736,35.68232812648606
Industrial Machinery & Supplies & Components,ITW,GWW,0.033180796976510954,0.008255188817853996,0.30635543719773217,0.019100488142827013,3.388680711424703,0.01093374316173942,36.28950084295356
Investment Banking & Brokerage,GS,MS,0.039368884130602536,0.010099444644208798,1.2627228983278949,0.019067800516456616,0.26515464743972395,0.012494377418631845,36.3517113555766
Electric Utilities,DUK,ETR,0.043785831203900775,0.011453174615527913,0.4737387142766458,0.018944919712657587,2.641394931242417,0.00821363427583221,36.58749633532814
Life Sciences Tools & Services,MTD,TMO,0.028063998588791807,0.006780113858578874,0.7667939839084882,0.018872864918166293,2.3615444865997346,0.014491357500307228,36.72718389950158
Property & Casualty Insurance,ALL,HIG,0.025166185399124345,0.005967783906764118,0.8370804747248036,0.018747160190939124,1.2385718332612075,0.01219285618652914,36.97344949849829
Multi-Family Residential REITs,CPT,UDR,0.03585720000797747,0.009041329054134576,1.132168983855852,0.0184258491952711,0.5627048421401607,0.007671495138651838,37.61819459250964
Insurance Brokers,AON,AJG,0.042238271380524134,0.010972638723914355,0.39575654903296115,0.01805089236691708,3.62255358627389,0.011253337906845922,38.39960742496678
Multi-Family Residential REITs,MAA,UDR,0.03229140911405049,0.00798816929357568,0.9778805008644067,0.017951455054489553,1.3828943989951397,0.006867579878698868,38.612311840793836
Insurance Brokers,AON,WTW,0.015208987653825851,0.0033302048679631074,0.5416455553139986,0.017098903072989554,2.76502079357149,0.011675839032463454,40.537523231819584
"Technology Hardware, Storage & Peripherals",STX,WDC,0.03923441279741035,0.010053197518828182,0.8991223185036358,0.017021172030866442,1.0391067546692285,0.018395416853754263,40.72264702471616
Oil & Gas Refining & Marketing,MPC,PSX,0.006377103343081709,0.0012352291690271894,1.4073996246267106,0.01691291171425448,-1.6945137735456401,0.01677807295513762,40.983314539255204
Electric Utilities,CEG,VST,0.02685655711555339,0.006336821753257674,0.7125248342007624,0.01644359710773019,2.1084319887987544,0.0219689459611415,42.153014089240514
Life Sciences Tools & Services,A,IQV,0.035730683913292566,0.009033640098794841,0.5409928707610729,0.01540775129120781,1.9857084539396352,0.013874340180755134,44.986913888951385
